period,actual,lstm_pred,arima_pred
2018Q1,293.6577012987979,290.71997,293.6588286415501
2018Q2,294.7592125636189,289.71924,294.58021906169364
2018Q3,296.402757390458,289.66788,296.11082925626766
2018Q4,298.5855711825881,289.9104,298.5143479020595
2019Q1,300.9617950836376,290.04312,301.22324334420045
2019Q2,302.82761434729025,290.66724,303.46713702052506
2019Q3,303.28444258323134,291.91217,304.18247896476856
2019Q4,301.95604130069734,293.76065,302.4212421621278
2020Q1,299.1922109618866,296.5276,298.9794689916353
2020Q2,296.0514701578546,299.20013,295.15082480224476
2020Q3,294.0113819906594,299.6195,292.64182727258924
2020Q4,294.0182800967647,297.8858,293.01771297673747
2021Q1,296.3151830450649,293.16177,295.9076045003572
2021Q2,300.47577436284695,290.50552,300.6812957525349
2021Q3,305.540691285615,292.71857,306.2457838180233
2021Q4,310.6501307284812,292.3001,311.2818767994091
2022Q1,315.21188798974475,291.5655,315.64584232830583
2022Q2,318.9271962119148,289.758,319.13708212722827
2022Q3,321.77566652842654,288.47678,321.75922030661144
2022Q4,323.8517969355666,288.69418,323.7500762346312
2023Q1,325.32207399895765,290.8588,325.16501262531875
2023Q2,326.4236775654785,294.30392,326.2001362242731
2023Q3,327.46234784388423,298.40146,327.1593174575048
2023Q4,328.81099727236364,302.9765,328.4123876365936
2024Q1,330.9110918896506,306.92194,330.3964849248283
2024Q2,334.27927213444286,309.6065,333.6231108377237
2024Q3,339.5222372855212,310.79114,338.6942251257171
2024Q4,347.36376419070945,309.39478,346.3310338315627
