year,top_sector,top_shap,bottom_sector,bottom_shap,predicted_growth
1991,Labor Market,3.172,Agriculture,-6.443,-0.86
1992,Trade,-0.934,Agriculture,-14.087,-22.6
1993,Investment,-0.9,Agriculture,-14.006,-22.65
1994,Trade,-1.082,Agriculture,-12.708,-19.59
1995,Investment,0.064,Agriculture,-9.313,-12.1
1996,Labor Market,1.26,Industry,-2.598,1.59
1997,Labor Market,2.737,Industry,-1.918,5.85
1998,Labor Market,4.093,Industry,-2.217,9.78
1999,Labor Market,3.924,Services,-1.9,7.24
2000,Labor Market,4.231,Services,-1.042,10.78
2001,Labor Market,4.056,Services,-0.99,9.99
2002,Labor Market,3.967,Services,-1.071,9.63
2003,Labor Market,3.772,Industry,-1.31,10.1
2004,Agriculture,3.016,Services,-1.094,9.16
2005,Services,8.323,Oil Price,0.988,27.91
2006,Services,11.622,Oil Price,1.129,33.54
2007,Services,10.083,Investment,-0.201,25.61
2008,Services,5.492,Investment,-1.826,10.58
2009,Industry,2.754,Services,-1.07,9.25
2010,Industry,1.875,Labor Market,-1.662,4.78
2011,Industry,0.931,Labor Market,-3.436,-1.02
2012,Industry,1.837,Labor Market,-3.131,2.19
2013,Industry,1.919,Labor Market,-2.807,5.38
2014,Agriculture,1.271,Labor Market,-2.392,2.92
2015,Agriculture,1.859,Labor Market,-2.675,1.1
2016,Agriculture,1.444,Labor Market,-3.375,-2.72
2017,Agriculture,1.626,Labor Market,-3.088,0.05
2018,Agriculture,1.188,Labor Market,-2.986,1.54
2019,Agriculture,1.834,Labor Market,-3.044,2.16
2020,Agriculture,1.797,Industry,-2.918,-3.63
2021,Agriculture,2.088,Services,-1.244,5.86
2022,Industry,1.314,Investment,-0.946,4.63
2023,Agriculture,1.269,Services,-2.106,1.6
2024,Agriculture,1.94,Services,-2.359,3.61
