year,industry_va_pct_gdp,services_va_pct_gdp,agriculture_va_pct_gdp,gross_capital_formation_pct,trade_pct_gdp,unemployment_rate,brent_annual_avg_usd,predicted_growth
1991,-1.3747656,-0.7626739,-6.4429207,-0.7056006,0.016860032,3.1722944,1.368459,-0.8591769
1992,-3.36292,-1.3996246,-14.086726,-1.1299994,-0.9335689,-3.6610227,-1.8929359,-22.597637
1993,-3.452331,-1.4681056,-14.006495,-0.89961463,-0.9802378,-3.6570115,-2.0531821,-22.647816
1994,-2.7370098,-1.7668623,-12.708102,-1.3598745,-1.0819004,-1.8972882,-1.9073409,-19.58919
1995,-2.8824544,-1.6915847,-9.31301,0.06358369,0.020026574,-0.8875457,-1.2732902,-12.095113
1996,-2.598395,-1.2203907,-0.38467515,0.9853126,-0.098025076,1.2601733,-0.22126885,1.5918983
1997,-1.9178425,-1.1602938,1.9818832,1.1763061,-0.10765032,2.7370107,-0.72448343,5.8541
1998,-2.2170737,-2.026693,3.8029788,2.4096262,0.5536286,4.0929427,-0.7019867,9.782588
1999,-1.8893334,-1.8999074,3.5841136,1.0203011,-0.9556101,3.924227,-0.40940765,7.2435527
2000,0.09002708,-1.0418938,3.5398626,-0.19725639,0.43961805,4.2311587,-0.15521632,10.775465
2001,-0.069234274,-0.9896063,3.4945087,-0.19653952,-0.0020573265,4.0564475,-0.17738147,9.985303
2002,-0.5862553,-1.0710962,3.4782634,0.74442154,-0.5201266,3.9671311,-0.24743952,9.634067
2003,-1.309801,-1.0277603,3.0670934,0.7601954,1.2078412,3.7720823,-0.24361753,10.095199
2004,-0.59868145,-1.0941125,3.0157728,0.8874049,1.4494065,1.9926872,-0.35825196,9.163391
2005,3.7322721,8.323202,4.3993936,1.6197041,2.9272952,2.0526602,0.9879118,27.911612
2006,5.7746034,11.621938,4.695042,2.2561598,2.9865544,1.2068645,1.1288738,33.539207
2007,3.3986154,10.083422,3.640491,-0.20065042,2.9327967,1.0145917,0.8718713,25.610313
2008,2.0514655,5.491997,0.3915277,-1.8258717,-0.7812987,0.6890495,0.69758755,10.583618
2009,2.754055,-1.0701296,2.2747962,-0.38167346,0.08389217,0.4985662,1.2208503,9.249528
2010,1.8746885,-1.128324,1.2815216,-0.7262775,0.2606249,-1.6620221,1.0065842,4.775965
2011,0.9306373,-1.7140647,0.76351196,-0.6416198,-0.7648291,-3.4358656,-0.023780687,-1.0168422
2012,1.8370703,-1.0711557,1.0125991,-0.5992948,-0.00276794,-3.1313374,0.27920046,2.1934822
2013,1.9191201,-0.9039157,1.3346549,0.34582323,0.60342777,-2.807392,1.0219646,5.382851
2014,0.7192936,-1.0248454,1.2705599,0.15212609,-0.6366567,-2.3924847,0.9648045,2.9219666
2015,-0.2609257,-2.3944213,1.8588338,0.29725754,0.12057411,-2.674894,0.28176928,1.0973601
2016,-0.44844574,-2.521684,1.4438672,0.032594822,-0.8310925,-3.374683,-0.8911524,-2.7214255
2017,-0.025754085,-2.227657,1.62616,0.09586852,-0.8420593,-3.0883048,0.6401362,0.04755686
2018,0.85775596,-1.0966295,1.1882514,-0.3290885,-1.0156686,-2.9860733,1.0563992,1.544115
2019,0.3600485,-1.4473152,1.8339772,-0.29182357,-0.41075394,-3.04381,1.2934691,2.1629612
2020,-2.9178557,-2.6872816,1.7969394,-0.9285891,-1.6853706,-0.44201955,-0.6345128,-3.6295202
2021,0.28517216,-1.2436758,2.087596,-0.5199217,0.24137233,0.16497727,0.97126794,5.8559575
2022,1.3143725,-0.8398735,0.98360604,-0.946351,-0.45005536,-0.27340916,0.9762675,4.6337266
2023,0.111543514,-2.1059978,1.2685474,-0.5606882,-0.3155795,-1.6352607,0.9697393,1.6014723
2024,0.001697652,-2.3591182,1.9397751,-0.29354736,-0.18322672,-0.50518686,1.1358024,3.605365
